patron_type,time_spent,question_format,location_name,question_half_hour,question_date,question_weekday
Undergraduate Student,30-60 minutes,In Person Personal,Access Services,13:00,11/3/14,Monday
Staff/Administration,05-10 minutes,Phone Service Point,Access Services,13:00,11/3/14,Monday
Undergraduate Student,10-20 minutes,In Person Service Point,Access Services,13:00,11/3/14,Monday
Undergraduate Student,10-20 minutes,Email List,Research and Instruction Services,13:00,11/4/14,Tuesday
Faculty,0-1 minutes,In Person Service Point,Archives and Special Collections,13:00,11/4/14,Tuesday
Undergraduate Student,0-1 minutes,In Person Service Point,Archives and Special Collections,13:00,11/4/14,Tuesday
Undergraduate Student,0-1 minutes,In Person Service Point,Archives and Special Collections,13:00,11/4/14,Tuesday
Undergraduate Student,0-1 minutes,In Person Service Point,Archives and Special Collections,13:00,11/4/14,Tuesday
Undergraduate Student,0-1 minutes,In Person Service Point,Archives and Special Collections,13:00,11/4/14,Tuesday
Undergraduate Student,0-1 minutes,In Person Service Point,Archives and Special Collections,13:00,11/4/14,Tuesday
Undergraduate Student,0-1 minutes,In Person Service Point,Archives and Special Collections,13:00,11/4/14,Tuesday
Undergraduate Student,0-1 minutes,In Person Service Point,Archives and Special Collections,13:00,11/4/14,Tuesday
Undergraduate Student,0-1 minutes,In Person Service Point,Archives and Special Collections,13:00,11/4/14,Tuesday
Undergraduate Student,0-1 minutes,In Person Service Point,Archives and Special Collections,13:00,11/4/14,Tuesday
Undergraduate Student,01-5 minutes,Chat,Access Services,13:00,11/8/14,Saturday
Undergraduate Student,01-5 minutes,In Person Service Point,Access Services,13:00,11/11/14,Tuesday
Undergraduate Student,01-5 minutes,Email Personal,Access Services,13:00,11/19/14,Wednesday
Visitor/Other,60+ minutes,Email List,Research and Instruction Services,13:00,11/21/14,Friday
Undergraduate Student,01-5 minutes,In Person Service Point,Access Services,13:00,11/22/14,Saturday
Staff/Administration,0-1 minutes,In Person Service Point,Archives and Special Collections,13:00,11/25/14,Tuesday
Undergraduate Student,20-30 minutes,Email Personal,Research and Instruction Services,13:00,12/1/14,Monday
Undergraduate Student,30-60 minutes,In Person Personal,Research and Instruction Services,13:00,12/1/14,Monday
Undergraduate Student,0-1 minutes,In Person Service Point,Archives and Special Collections,13:00,12/1/14,Monday
Undergraduate Student,0-1 minutes,In Person Service Point,Archives and Special Collections,13:00,12/1/14,Monday
Undergraduate Student,0-1 minutes,In Person Service Point,Archives and Special Collections,13:00,12/2/14,Tuesday
Undergraduate Student,0-1 minutes,In Person Service Point,Archives and Special Collections,13:00,12/2/14,Tuesday
Undergraduate Student,0-1 minutes,In Person Service Point,Archives and Special Collections,13:00,12/2/14,Tuesday
Undergraduate Student,20-30 minutes,Email Personal,Research and Instruction Services,13:00,12/2/14,Tuesday
Faculty,05-10 minutes,Email Personal,Research and Instruction Services,13:00,12/3/14,Wednesday
Undergraduate Student,10-20 minutes,Email Personal,Research and Instruction Services,13:00,12/3/14,Wednesday
Graduate Student,05-10 minutes,Phone Service Point,Access Services,13:00,12/10/14,Wednesday
Visitor/Other,01-5 minutes,Phone Service Point,Access Services,13:00,12/13/14,Saturday
Graduate Student,10-20 minutes,Chat,Access Services,13:00,12/14/14,Sunday
Undergraduate Student,01-5 minutes,Chat,Access Services,13:00,12/16/14,Tuesday
