patron_type,time_spent,question_format,location_name,question_half_hour,question_date,question_weekday
Undergraduate Student,01-5 minutes,In Person Service Point,Access Services,7:00 PM,1/22/14,Wednesday
Undergraduate Student,01-5 minutes,In Person Service Point,Access Services,8:00 PM,1/22/14,Wednesday
Undergraduate Student,01-5 minutes,In Person Service Point,Access Services,8:30 PM,1/22/14,Wednesday
Undergraduate Student,0-1 minutes,Phone Service Point,Access Services,8:30 PM,1/22/14,Wednesday
Undergraduate Student,10-20 minutes,In Person Service Point,Access Services,9:00 PM,1/22/14,Wednesday
Undergraduate Student,0-1 minutes,Phone Service Point,Access Services,9:30 PM,1/22/14,Wednesday
Undergraduate Student,05-10 minutes,Email Personal,Research and Instruction Services,10:00 AM,1/23/14,Thursday
Undergraduate Student,05-10 minutes,In Person Service Point,Research and Instruction Services,10:00 AM,1/23/14,Thursday
Undergraduate Student,0-1 minutes,Phone Service Point,Access Services,10:30 AM,1/23/14,Thursday
Undergraduate Student,05-10 minutes,Chat,Access Services,12:00 PM,1/23/14,Thursday
Undergraduate Student,05-10 minutes,Chat,Access Services,12:30 PM,1/23/14,Thursday
Undergraduate Student,05-10 minutes,Chat,Access Services,12:30 PM,1/23/14,Thursday
Undergraduate Student,05-10 minutes,Chat,Access Services,12:30 PM,1/23/14,Thursday
Undergraduate Student,10-20 minutes,Chat,Access Services,12:30 PM,1/23/14,Thursday
Undergraduate Student,20-30 minutes,In Person Personal,Research and Instruction Services,1:00 PM,1/23/14,Thursday
Faculty,05-10 minutes,Email List,Access Services,1:00 PM,1/23/14,Thursday
Undergraduate Student,05-10 minutes,Chat,Access Services,1:30 PM,1/23/14,Thursday
Staff/Administration,05-10 minutes,Phone Personal,Access Services,2:30 PM,1/23/14,Thursday
Undergraduate Student,0-1 minutes,In Person Service Point,Archives and Special Collections,2:30 PM,1/23/14,Thursday
Undergraduate Student,10-20 minutes,Chat,Access Services,2:30 PM,1/23/14,Thursday
Undergraduate Student,10-20 minutes,Chat,Research and Instruction Services,4:30 PM,1/23/14,Thursday
Visitor/Other,01-5 minutes,Chat,Research and Instruction Services,4:30 PM,1/23/14,Thursday
Staff/Administration,01-5 minutes,Email Personal,Archives and Special Collections,4:30 PM,1/23/14,Thursday
Graduate Student,10-20 minutes,In Person Service Point,Access Services,5:00 PM,1/23/14,Thursday
Faculty,05-10 minutes,Phone Service Point,Access Services,5:30 PM,1/23/14,Thursday
Undergraduate Student,05-10 minutes,In Person Service Point,Access Services,9:00 PM,1/23/14,Thursday
Graduate Student,01-5 minutes,In Person Service Point,Access Services,8:30 AM,1/24/14,Friday
Undergraduate Student,0-1 minutes,In Person Service Point,Access Services,8:30 AM,1/24/14,Friday
Undergraduate Student,0-1 minutes,In Person Service Point,Access Services,9:00 AM,1/24/14,Friday
Undergraduate Student,0-1 minutes,Email Personal,Archives and Special Collections,10:00 AM,1/24/14,Friday
Staff/Administration,01-5 minutes,In Person Service Point,Access Services,10:00 AM,1/24/14,Friday
Undergraduate Student,01-5 minutes,In Person Service Point,Access Services,10:30 AM,1/24/14,Friday
Undergraduate Student,05-10 minutes,In Person Service Point,Access Services,11:30 AM,1/24/14,Friday
Undergraduate Student,01-5 minutes,In Person Service Point,Access Services,1:00 PM,1/24/14,Friday
Undergraduate Student,01-5 minutes,In Person Service Point,Access Services,1:00 PM,1/24/14,Friday
Undergraduate Student,05-10 minutes,In Person Service Point,Access Services,1:30 PM,1/24/14,Friday
Graduate Student,01-5 minutes,In Person Service Point,Access Services,1:30 PM,1/24/14,Friday
Undergraduate Student,0-1 minutes,In Person Service Point,Access Services,2:00 PM,1/24/14,Friday
Graduate Student,10-20 minutes,In Person Service Point,Research and Instruction Services,2:00 PM,1/24/14,Friday
Undergraduate Student,0-1 minutes,In Person Service Point,Access Services,2:30 PM,1/24/14,Friday
Staff/Administration,01-5 minutes,Phone Personal,Access Services,2:30 PM,1/24/14,Friday
Staff/Administration,01-5 minutes,Phone Personal,Access Services,2:30 PM,1/24/14,Friday
Undergraduate Student,30-60 minutes,In Person Personal,Research and Instruction Services,2:30 PM,1/24/14,Friday
Undergraduate Student,01-5 minutes,In Person Service Point,Access Services,3:00 PM,1/24/14,Friday
Undergraduate Student,10-20 minutes,Chat,Research and Instruction Services,3:00 PM,1/24/14,Friday
Undergraduate Student,0-1 minutes,In Person Service Point,Access Services,3:30 PM,1/24/14,Friday
Undergraduate Student,01-5 minutes,In Person Service Point,Access Services,4:00 PM,1/24/14,Friday
Staff/Administration,01-5 minutes,Email Personal,Archives and Special Collections,4:30 PM,1/24/14,Friday
Graduate Student,01-5 minutes,In Person Service Point,Access Services,4:30 PM,1/24/14,Friday
Undergraduate Student,0-1 minutes,In Person Service Point,Access Services,4:30 PM,1/24/14,Friday
