patron_type,time_spent,question_format,location_name,question_half_hour,question_date,question_weekday
Graduate Student,30-60 minutes,Email Personal,Research and Instruction Services,4:00 PM,6/24/14,Tuesday
Graduate Student,30-60 minutes,Email List,Research and Instruction Services,4:00 PM,6/24/14,Tuesday
Visitor/Other,01-5 minutes,In Person Service Point,Access Services,9:30 AM,6/25/14,Wednesday
Faculty,10-20 minutes,Email Personal,Research and Instruction Services,9:30 AM,6/25/14,Wednesday
Visitor/Other,10-20 minutes,In Person Personal,Archives and Special Collections,10:30 AM,6/25/14,Wednesday
Faculty,01-5 minutes,In Person Service Point,Access Services,11:30 AM,6/25/14,Wednesday
Visitor/Other,01-5 minutes,In Person Service Point,Access Services,1:30 PM,6/25/14,Wednesday
Undergraduate Student,01-5 minutes,In Person Service Point,Access Services,4:30 PM,6/25/14,Wednesday
Staff/Administration,05-10 minutes,Phone Service Point,Access Services,9:30 AM,6/26/14,Thursday
Visitor/Other,05-10 minutes,Phone Service Point,Access Services,10:00 AM,6/26/14,Thursday
Alumni,05-10 minutes,Email List,Archives and Special Collections,11:00 AM,6/26/14,Thursday
Graduate Student,05-10 minutes,Chat,Access Services,11:30 AM,6/26/14,Thursday
Undergraduate Student,01-5 minutes,Email List,Access Services,1:30 PM,6/26/14,Thursday
Alumni,0-1 minutes,In Person Service Point,Archives and Special Collections,4:00 PM,6/26/14,Thursday
Graduate Student,30-60 minutes,Email List,Research and Instruction Services,4:00 PM,6/26/14,Thursday
Undergraduate Student,05-10 minutes,Chat,Research and Instruction Services,9:30 AM,6/27/14,Friday
Visitor/Other,0-1 minutes,In Person Service Point,Archives and Special Collections,10:00 AM,6/27/14,Friday
Visitor/Other,05-10 minutes,In Person Service Point,Access Services,10:30 AM,6/27/14,Friday
Visitor/Other,05-10 minutes,In Person Service Point,Access Services,1:30 PM,6/27/14,Friday
Undergraduate Student,01-5 minutes,In Person Service Point,Access Services,3:30 PM,6/27/14,Friday
Undergraduate Student,01-5 minutes,Chat,Access Services,3:30 PM,6/27/14,Friday
Undergraduate Student,0-1 minutes,Phone Service Point,Access Services,3:30 PM,6/27/14,Friday
Staff/Administration,01-5 minutes,In Person Service Point,Access Services,8:30 AM,6/30/14,Monday
Graduate Student,01-5 minutes,Email Personal,Research and Instruction Services,9:30 AM,6/30/14,Monday
Undergraduate Student,0-1 minutes,In Person Service Point,Access Services,11:30 AM,6/30/14,Monday
Visitor/Other,05-10 minutes,Email List,Archives and Special Collections,11:30 AM,6/30/14,Monday
Staff/Administration,05-10 minutes,In Person Service Point,Research and Instruction Services,4:00 PM,6/30/14,Monday
Staff/Administration,20-30 minutes,Email Personal,Research and Instruction Services,9:00 AM,7/1/14,Tuesday
Visitor/Other,10-20 minutes,Email List,Archives and Special Collections,1:30 PM,7/1/14,Tuesday
Graduate Student,30-60 minutes,In Person Personal,Research and Instruction Services,3:00 PM,7/1/14,Tuesday
Alumni,0-1 minutes,Email List,Archives and Special Collections,3:30 PM,7/1/14,Tuesday
Faculty,01-5 minutes,Phone Service Point,Access Services,10:00 AM,7/2/14,Wednesday
Visitor/Other,0-1 minutes,In Person Service Point,Archives and Special Collections,10:00 AM,7/2/14,Wednesday
Undergraduate Student,01-5 minutes,In Person Service Point,Access Services,11:00 AM,7/2/14,Wednesday
Undergraduate Student,10-20 minutes,In Person Service Point,Research and Instruction Services,11:30 AM,7/2/14,Wednesday
Visitor/Other,01-5 minutes,Phone Service Point,Access Services,12:30 PM,7/2/14,Wednesday
Visitor/Other,01-5 minutes,Phone Service Point,Access Services,1:00 PM,7/2/14,Wednesday
Undergraduate Student,01-5 minutes,In Person Service Point,Access Services,1:30 PM,7/2/14,Wednesday
Visitor/Other,20-30 minutes,Email Personal,Archives and Special Collections,3:30 PM,7/2/14,Wednesday
Graduate Student,01-5 minutes,In Person Service Point,Access Services,4:30 PM,7/2/14,Wednesday
Faculty,05-10 minutes,In Person Service Point,Access Services,6:30 PM,7/2/14,Wednesday
Graduate Student,10-20 minutes,In Person Service Point,Access Services,6:30 PM,7/2/14,Wednesday
Staff/Administration,05-10 minutes,Phone Service Point,Access Services,8:30 AM,7/3/14,Thursday
Undergraduate Student,10-20 minutes,Email Personal,Research and Instruction Services,9:00 AM,7/3/14,Thursday
Faculty,0-1 minutes,In Person Service Point,Archives and Special Collections,12:00 PM,7/3/14,Thursday
Visitor/Other,01-5 minutes,In Person Service Point,Access Services,1:00 PM,7/3/14,Thursday
Undergraduate Student,0-1 minutes,In Person Service Point,Access Services,3:00 PM,7/3/14,Thursday
Alumni,10-20 minutes,Email List,Archives and Special Collections,10:30 AM,7/7/14,Monday
Visitor/Other,05-10 minutes,Phone Service Point,Access Services,3:00 PM,7/7/14,Monday
Undergraduate Student,0-1 minutes,In Person Service Point,Access Services,5:00 PM,7/7/14,Monday
Undergraduate Student,01-5 minutes,Phone Service Point,Access Services,6:00 PM,7/7/14,Monday
Graduate Student,0-1 minutes,In Person Service Point,Access Services,6:00 PM,7/7/14,Monday
Visitor/Other,0-1 minutes,In Person Service Point,Access Services,6:30 PM,7/7/14,Monday
Graduate Student,01-5 minutes,Phone Service Point,Access Services,9:00 AM,7/8/14,Tuesday
Graduate Student,01-5 minutes,Phone Service Point,Access Services,10:30 AM,7/8/14,Tuesday
Undergraduate Student,01-5 minutes,Phone Service Point,Access Services,12:30 PM,7/8/14,Tuesday
Undergraduate Student,01-5 minutes,In Person Service Point,Access Services,3:30 PM,7/8/14,Tuesday
Undergraduate Student,01-5 minutes,In Person Service Point,Access Services,10:30 AM,7/9/14,Wednesday
Visitor/Other,0-1 minutes,In Person Service Point,Access Services,2:30 PM,7/9/14,Wednesday
Graduate Student,30-60 minutes,Email Personal,Research and Instruction Services,4:30 PM,7/9/14,Wednesday
Undergraduate Student,30-60 minutes,Email List,Research and Instruction Services,10:30 AM,7/10/14,Thursday
Staff/Administration,05-10 minutes,Phone Service Point,Research and Instruction Services,1:00 PM,7/10/14,Thursday
Graduate Student,20-30 minutes,Phone Service Point,Research and Instruction Services,1:00 PM,7/10/14,Thursday
Staff/Administration,01-5 minutes,Email Personal,Access Services,4:30 PM,7/10/14,Thursday
Faculty,05-10 minutes,In Person Service Point,Access Services,4:30 PM,7/10/14,Thursday
Graduate Student,30-60 minutes,Web Conference,Research and Instruction Services,4:30 PM,7/10/14,Thursday
Undergraduate Student,01-5 minutes,Chat,Access Services,5:00 PM,7/10/14,Thursday
Undergraduate Student,01-5 minutes,Email Personal,Access Services,10:00 AM,7/11/14,Friday
Staff/Administration,0-1 minutes,In Person Service Point,Access Services,1:30 PM,7/11/14,Friday
Faculty,01-5 minutes,Email Personal,Research and Instruction Services,9:00 AM,7/14/14,Monday
Staff/Administration,05-10 minutes,Email List,Archives and Special Collections,9:30 AM,7/14/14,Monday
Undergraduate Student,01-5 minutes,In Person Service Point,Access Services,11:30 AM,7/14/14,Monday
Undergraduate Student,05-10 minutes,Chat,Research and Instruction Services,12:30 PM,7/14/14,Monday
Faculty,20-30 minutes,Email Personal,Research and Instruction Services,3:00 PM,7/14/14,Monday
Faculty,0-1 minutes,In Person Service Point,Archives and Special Collections,10:30 AM,7/15/14,Tuesday
Faculty,20-30 minutes,Phone Personal,Research and Instruction Services,12:00 PM,7/15/14,Tuesday
Alumni,0-1 minutes,In Person Service Point,Archives and Special Collections,1:00 PM,7/15/14,Tuesday
Undergraduate Student,05-10 minutes,Chat,Research and Instruction Services,2:00 PM,7/15/14,Tuesday
Graduate Student,01-5 minutes,In Person Service Point,Access Services,2:30 PM,7/15/14,Tuesday
Visitor/Other,05-10 minutes,Chat,Research and Instruction Services,4:30 PM,7/15/14,Tuesday
Faculty,01-5 minutes,Email List,Archives and Special Collections,9:00 AM,7/16/14,Wednesday
Faculty,0-1 minutes,In Person Service Point,Archives and Special Collections,9:00 AM,7/16/14,Wednesday
Visitor/Other,01-5 minutes,Phone Service Point,Access Services,12:30 PM,7/16/14,Wednesday
Alumni,01-5 minutes,Chat,Access Services,1:30 PM,7/16/14,Wednesday
Staff/Administration,20-30 minutes,Email List,Archives and Special Collections,1:30 PM,7/16/14,Wednesday
Staff/Administration,05-10 minutes,Email Personal,Access Services,2:00 PM,7/16/14,Wednesday
Visitor/Other,0-1 minutes,Phone Service Point,Access Services,2:30 PM,7/16/14,Wednesday
Faculty,20-30 minutes,Phone Personal,Research and Instruction Services,4:30 PM,7/16/14,Wednesday
Visitor/Other,0-1 minutes,In Person Service Point,Access Services,9:00 AM,7/17/14,Thursday
Undergraduate Student,05-10 minutes,Email Personal,Research and Instruction Services,9:00 AM,7/17/14,Thursday
Faculty,01-5 minutes,Email Personal,Research and Instruction Services,9:00 AM,7/17/14,Thursday
Visitor/Other,01-5 minutes,Phone Service Point,Access Services,10:00 AM,7/17/14,Thursday
Staff/Administration,01-5 minutes,Email List,Research and Instruction Services,10:00 AM,7/17/14,Thursday
Faculty,0-1 minutes,In Person Service Point,Archives and Special Collections,10:00 AM,7/17/14,Thursday
Undergraduate Student,30-60 minutes,In Person Personal,Research and Instruction Services,10:00 AM,7/17/14,Thursday
Alumni,01-5 minutes,In Person Service Point,Access Services,11:30 AM,7/17/14,Thursday
Faculty,01-5 minutes,Phone Service Point,Access Services,12:30 PM,7/17/14,Thursday
Alumni,01-5 minutes,Chat,Access Services,12:30 PM,7/17/14,Thursday
Undergraduate Student,0-1 minutes,In Person Service Point,Access Services,2:30 PM,7/17/14,Thursday
Alumni,60+ minutes,Email List,Research and Instruction Services,2:30 PM,7/17/14,Thursday
Visitor/Other,20-30 minutes,Email List,Archives and Special Collections,5:30 PM,7/17/14,Thursday
Undergraduate Student,0-1 minutes,Phone Service Point,Access Services,8:30 AM,7/18/14,Friday
Faculty,0-1 minutes,In Person Service Point,Archives and Special Collections,10:00 AM,7/18/14,Friday
Undergraduate Student,01-5 minutes,In Person Service Point,Access Services,11:00 AM,7/18/14,Friday
Faculty,05-10 minutes,Email Personal,Research and Instruction Services,1:00 PM,7/18/14,Friday
Staff/Administration,30-60 minutes,Email List,Archives and Special Collections,9:30 AM,7/21/14,Monday
Faculty,01-5 minutes,In Person Personal,Research and Instruction Services,12:00 PM,7/21/14,Monday
Faculty,05-10 minutes,Email Personal,Research and Instruction Services,1:00 PM,7/21/14,Monday
Faculty,05-10 minutes,Email Personal,Research and Instruction Services,1:00 PM,7/21/14,Monday
Undergraduate Student,0-1 minutes,In Person Service Point,Access Services,8:00 AM,7/22/14,Tuesday
Visitor/Other,01-5 minutes,Email List,Archives and Special Collections,9:00 AM,7/22/14,Tuesday
Undergraduate Student,05-10 minutes,Email List,Archives and Special Collections,9:30 AM,7/22/14,Tuesday
Faculty,0-1 minutes,In Person Service Point,Archives and Special Collections,9:30 AM,7/22/14,Tuesday
Visitor/Other,0-1 minutes,In Person Service Point,Access Services,11:30 AM,7/22/14,Tuesday
Graduate Student,01-5 minutes,Email List,Access Services,11:30 AM,7/22/14,Tuesday
Faculty,0-1 minutes,In Person Service Point,Archives and Special Collections,3:00 PM,7/22/14,Tuesday
Undergraduate Student,01-5 minutes,Email List,Access Services,9:00 AM,7/23/14,Wednesday
Graduate Student,05-10 minutes,Email Personal,Research and Instruction Services,9:00 AM,7/23/14,Wednesday
Faculty,0-1 minutes,In Person Service Point,Archives and Special Collections,9:00 AM,7/23/14,Wednesday
Undergraduate Student,01-5 minutes,Email List,Access Services,9:00 AM,7/23/14,Wednesday
Graduate Student,05-10 minutes,Chat,Research and Instruction Services,9:30 AM,7/23/14,Wednesday
Visitor/Other,01-5 minutes,Phone Service Point,Access Services,10:00 AM,7/23/14,Wednesday
Faculty,0-1 minutes,In Person Service Point,Archives and Special Collections,10:00 AM,7/23/14,Wednesday
Faculty,0-1 minutes,In Person Service Point,Archives and Special Collections,11:30 AM,7/23/14,Wednesday
Graduate Student,01-5 minutes,In Person Service Point,Access Services,12:00 PM,7/23/14,Wednesday
Graduate Student,01-5 minutes,In Person Service Point,Access Services,1:30 PM,7/23/14,Wednesday
Visitor/Other,10-20 minutes,Email List,Archives and Special Collections,2:30 PM,7/23/14,Wednesday
Undergraduate Student,0-1 minutes,In Person Service Point,Access Services,6:00 PM,7/23/14,Wednesday
Alumni,05-10 minutes,Chat,Access Services,7:30 PM,7/23/14,Wednesday
Undergraduate Student,01-5 minutes,Email List,Access Services,9:00 AM,7/24/14,Thursday
Undergraduate Student,01-5 minutes,Email List,Access Services,9:00 AM,7/24/14,Thursday
Undergraduate Student,01-5 minutes,Email List,Access Services,9:00 AM,7/24/14,Thursday
Undergraduate Student,01-5 minutes,Email List,Access Services,9:00 AM,7/24/14,Thursday
Undergraduate Student,01-5 minutes,Email List,Access Services,9:00 AM,7/24/14,Thursday
Undergraduate Student,01-5 minutes,Email List,Access Services,9:00 AM,7/24/14,Thursday
Undergraduate Student,01-5 minutes,Email List,Access Services,9:00 AM,7/24/14,Thursday
Visitor/Other,05-10 minutes,Email List,Archives and Special Collections,9:00 AM,7/24/14,Thursday
Undergraduate Student,01-5 minutes,Email List,Access Services,9:00 AM,7/24/14,Thursday
Undergraduate Student,01-5 minutes,Email List,Access Services,9:00 AM,7/24/14,Thursday
Undergraduate Student,01-5 minutes,Email List,Access Services,9:00 AM,7/24/14,Thursday
Undergraduate Student,01-5 minutes,Email List,Access Services,9:00 AM,7/24/14,Thursday
Undergraduate Student,01-5 minutes,Email List,Access Services,9:00 AM,7/24/14,Thursday
Undergraduate Student,01-5 minutes,Email List,Access Services,9:00 AM,7/24/14,Thursday
Undergraduate Student,01-5 minutes,Email List,Access Services,9:00 AM,7/24/14,Thursday
Undergraduate Student,01-5 minutes,Email List,Access Services,9:00 AM,7/24/14,Thursday
Undergraduate Student,01-5 minutes,Email List,Access Services,9:00 AM,7/24/14,Thursday
Undergraduate Student,01-5 minutes,Email List,Access Services,9:00 AM,7/24/14,Thursday
Undergraduate Student,30-60 minutes,Email List,Archives and Special Collections,9:00 AM,7/24/14,Thursday
Undergraduate Student,01-5 minutes,Email List,Access Services,11:00 AM,7/24/14,Thursday
Faculty,0-1 minutes,In Person Service Point,Archives and Special Collections,11:00 AM,7/24/14,Thursday
Staff/Administration,01-5 minutes,Email Personal,Research and Instruction Services,12:30 PM,7/24/14,Thursday
Faculty,0-1 minutes,In Person Service Point,Archives and Special Collections,3:00 PM,7/24/14,Thursday
Faculty,10-20 minutes,Email List,Research and Instruction Services,3:00 PM,7/24/14,Thursday
Faculty,10-20 minutes,Phone Service Point,Access Services,3:30 PM,7/24/14,Thursday
Faculty,0-1 minutes,In Person Service Point,Archives and Special Collections,9:00 AM,7/25/14,Friday
Faculty,05-10 minutes,In Person Service Point,Access Services,11:00 AM,7/25/14,Friday
Faculty,05-10 minutes,Phone Service Point,Access Services,11:00 AM,7/25/14,Friday
Staff/Administration,01-5 minutes,Phone Service Point,Access Services,12:00 PM,7/25/14,Friday
Visitor/Other,01-5 minutes,Phone Service Point,Access Services,12:30 PM,7/25/14,Friday
Faculty,0-1 minutes,In Person Service Point,Archives and Special Collections,1:00 PM,7/25/14,Friday
Graduate Student,20-30 minutes,In Person Service Point,Research and Instruction Services,3:00 PM,7/25/14,Friday
Undergraduate Student,01-5 minutes,Email List,Access Services,3:00 PM,7/25/14,Friday
Faculty,30-60 minutes,In Person Service Point,Research and Instruction Services,3:30 PM,7/25/14,Friday
Undergraduate Student,01-5 minutes,Phone Service Point,Access Services,1:00 PM,7/28/14,Monday
Graduate Student,10-20 minutes,Email Personal,Research and Instruction Services,3:00 PM,7/28/14,Monday
Undergraduate Student,01-5 minutes,In Person Service Point,Access Services,3:00 PM,7/28/14,Monday
Faculty,05-10 minutes,Phone Personal,Research and Instruction Services,3:30 PM,7/28/14,Monday
Faculty,05-10 minutes,Email Personal,Research and Instruction Services,3:30 PM,7/28/14,Monday
Staff/Administration,01-5 minutes,Email Personal,Access Services,3:30 PM,7/28/14,Monday
Graduate Student,10-20 minutes,Email List,Collection Management Services,4:00 PM,7/28/14,Monday
Faculty,10-20 minutes,Email List,Research and Instruction Services,4:30 PM,7/28/14,Monday
Graduate Student,01-5 minutes,In Person Service Point,Access Services,9:00 AM,7/29/14,Tuesday
Faculty,0-1 minutes,In Person Service Point,Archives and Special Collections,9:30 AM,7/29/14,Tuesday
Staff/Administration,20-30 minutes,Email List,Archives and Special Collections,10:30 AM,7/29/14,Tuesday
Faculty,0-1 minutes,In Person Service Point,Archives and Special Collections,11:00 AM,7/29/14,Tuesday
Faculty,0-1 minutes,In Person Service Point,Archives and Special Collections,2:30 PM,7/29/14,Tuesday
Faculty,0-1 minutes,In Person Service Point,Archives and Special Collections,8:30 AM,7/30/14,Wednesday
Visitor/Other,01-5 minutes,Phone Service Point,Access Services,9:30 AM,7/30/14,Wednesday
Alumni,01-5 minutes,Email List,Archives and Special Collections,11:00 AM,7/30/14,Wednesday
Faculty,0-1 minutes,In Person Service Point,Archives and Special Collections,11:30 AM,7/30/14,Wednesday
Visitor/Other,0-1 minutes,In Person Service Point,Archives and Special Collections,11:30 AM,7/30/14,Wednesday
Faculty,10-20 minutes,Email List,Archives and Special Collections,12:00 PM,7/30/14,Wednesday
Graduate Student,01-5 minutes,Email Personal,Research and Instruction Services,1:00 PM,7/30/14,Wednesday
Faculty,0-1 minutes,In Person Service Point,Archives and Special Collections,3:00 PM,7/30/14,Wednesday
Undergraduate Student,01-5 minutes,Email Personal,Access Services,8:00 AM,7/31/14,Thursday
Undergraduate Student,05-10 minutes,Phone Service Point,Access Services,8:00 AM,7/31/14,Thursday
Faculty,0-1 minutes,In Person Service Point,Archives and Special Collections,10:30 AM,7/31/14,Thursday
Faculty,05-10 minutes,Phone Service Point,Access Services,11:30 AM,7/31/14,Thursday
Undergraduate Student,05-10 minutes,Email List,Access Services,8:30 AM,8/1/14,Friday
Staff/Administration,05-10 minutes,Phone Service Point,Access Services,9:00 AM,8/1/14,Friday
Faculty,0-1 minutes,In Person Service Point,Archives and Special Collections,9:00 AM,8/1/14,Friday
Visitor/Other,0-1 minutes,In Person Service Point,Archives and Special Collections,9:30 AM,8/1/14,Friday
Undergraduate Student,01-5 minutes,In Person Service Point,Access Services,9:30 AM,8/1/14,Friday
Visitor/Other,01-5 minutes,Phone Service Point,Access Services,10:30 AM,8/1/14,Friday
Undergraduate Student,0-1 minutes,In Person Service Point,Access Services,11:00 AM,8/1/14,Friday
Visitor/Other,01-5 minutes,Phone Service Point,Access Services,11:00 AM,8/1/14,Friday
Faculty,0-1 minutes,In Person Service Point,Archives and Special Collections,1:30 PM,8/1/14,Friday
Faculty,10-20 minutes,Email Personal,Research and Instruction Services,8:30 AM,8/2/14,Saturday
Graduate Student,01-5 minutes,In Person Service Point,Access Services,10:00 AM,8/4/14,Monday
Staff/Administration,01-5 minutes,Phone Personal,Research and Instruction Services,2:30 PM,8/4/14,Monday
Graduate Student,60+ minutes,Email List,Research and Instruction Services,4:30 PM,8/4/14,Monday
Graduate Student,20-30 minutes,Email List,Research and Instruction Services,4:30 PM,8/4/14,Monday
Faculty,0-1 minutes,In Person Service Point,Archives and Special Collections,10:00 AM,8/5/14,Tuesday
Undergraduate Student,01-5 minutes,Phone Service Point,Access Services,10:30 AM,8/5/14,Tuesday
Alumni,05-10 minutes,In Person Service Point,Access Services,11:30 AM,8/5/14,Tuesday
Graduate Student,60+ minutes,In Person Service Point,Research and Instruction Services,1:00 PM,8/5/14,Tuesday
Faculty,0-1 minutes,In Person Service Point,Archives and Special Collections,2:30 PM,8/5/14,Tuesday
Staff/Administration,01-5 minutes,In Person Personal,Research and Instruction Services,2:30 PM,8/5/14,Tuesday
Staff/Administration,20-30 minutes,Email List,Research and Instruction Services,2:30 PM,8/5/14,Tuesday
ARC,05-10 minutes,Email Personal,Access Services,4:00 PM,8/5/14,Tuesday
Faculty,0-1 minutes,Email List,Access Services,4:00 PM,8/5/14,Tuesday
Faculty,0-1 minutes,In Person Service Point,Archives and Special Collections,9:30 AM,8/6/14,Wednesday
Visitor/Other,01-5 minutes,In Person Service Point,Access Services,9:30 AM,8/6/14,Wednesday
Faculty,20-30 minutes,Chat,Research and Instruction Services,1:00 PM,8/6/14,Wednesday
Faculty,0-1 minutes,In Person Service Point,Archives and Special Collections,2:00 PM,8/6/14,Wednesday
Faculty,01-5 minutes,Email List,Archives and Special Collections,5:00 PM,8/6/14,Wednesday
ARC,01-5 minutes,Email Personal,Access Services,8:30 AM,8/7/14,Thursday
Staff/Administration,05-10 minutes,In Person Service Point,Access Services,10:00 AM,8/7/14,Thursday
Faculty,0-1 minutes,In Person Service Point,Archives and Special Collections,10:30 AM,8/7/14,Thursday
ARC,01-5 minutes,Phone Personal,Access Services,11:00 AM,8/7/14,Thursday
Graduate Student,05-10 minutes,In Person Service Point,Access Services,1:00 PM,8/7/14,Thursday
Faculty,0-1 minutes,In Person Service Point,Archives and Special Collections,2:00 PM,8/7/14,Thursday
Faculty,0-1 minutes,In Person Service Point,Archives and Special Collections,10:00 AM,8/8/14,Friday
Undergraduate Student,05-10 minutes,In Person Service Point,Access Services,1:30 PM,8/8/14,Friday
Alumni,0-1 minutes,Phone Service Point,Access Services,2:30 PM,8/8/14,Friday
Faculty,05-10 minutes,Email List,Archives and Special Collections,3:00 PM,8/8/14,Friday
Faculty,20-30 minutes,Email Personal,Research and Instruction Services,4:30 PM,8/8/14,Friday
Alumni,05-10 minutes,Phone Service Point,Access Services,4:30 PM,8/8/14,Friday
Alumni,10-20 minutes,Email List,Research and Instruction Services,9:00 AM,8/11/14,Monday
Faculty,05-10 minutes,Email List,Research and Instruction Services,9:30 AM,8/11/14,Monday
Faculty,0-1 minutes,In Person Service Point,Archives and Special Collections,11:00 AM,8/11/14,Monday
Undergraduate Student,10-20 minutes,In Person Service Point,Research and Instruction Services,12:00 PM,8/11/14,Monday
Undergraduate Student,01-5 minutes,Email Personal,Access Services,12:30 PM,8/11/14,Monday
Faculty,60+ minutes,In Person Personal,Research and Instruction Services,1:30 PM,8/11/14,Monday
Faculty,10-20 minutes,In Person Personal,Research and Instruction Services,2:00 PM,8/11/14,Monday
Faculty,0-1 minutes,In Person Service Point,Archives and Special Collections,3:00 PM,8/11/14,Monday
Graduate Student,30-60 minutes,In Person Personal,Research and Instruction Services,3:00 PM,8/11/14,Monday
Staff/Administration,05-10 minutes,Email List,Archives and Special Collections,6:30 PM,8/11/14,Monday
Faculty,0-1 minutes,In Person Service Point,Archives and Special Collections,1:30 PM,8/12/14,Tuesday
Visitor/Other,0-1 minutes,In Person Service Point,Archives and Special Collections,1:30 PM,8/12/14,Tuesday
Faculty,0-1 minutes,In Person Service Point,Archives and Special Collections,1:30 PM,8/12/14,Tuesday
Undergraduate Student,01-5 minutes,Email List,Access Services,3:30 PM,8/12/14,Tuesday
Undergraduate Student,10-20 minutes,Chat,Research and Instruction Services,4:30 PM,8/12/14,Tuesday
Staff/Administration,01-5 minutes,Email Personal,Access Services,9:30 AM,8/13/14,Wednesday
Faculty,01-5 minutes,In Person Service Point,Access Services,11:30 AM,8/13/14,Wednesday
Visitor/Other,01-5 minutes,In Person Service Point,Access Services,12:00 PM,8/13/14,Wednesday
Faculty,20-30 minutes,Email List,Research and Instruction Services,12:00 PM,8/13/14,Wednesday
Staff/Administration,01-5 minutes,Email Personal,Access Services,1:30 PM,8/13/14,Wednesday
Visitor/Other,10-20 minutes,Email List,Archives and Special Collections,8:30 AM,8/14/14,Thursday
Faculty,0-1 minutes,In Person Service Point,Archives and Special Collections,10:00 AM,8/14/14,Thursday
Alumni,01-5 minutes,Chat,Access Services,10:30 AM,8/14/14,Thursday
Faculty,05-10 minutes,In Person Personal,Research and Instruction Services,11:30 AM,8/14/14,Thursday
Alumni,05-10 minutes,Phone Service Point,Access Services,12:00 PM,8/14/14,Thursday
Faculty,0-1 minutes,Email Personal,Research and Instruction Services,12:00 PM,8/14/14,Thursday
Staff/Administration,01-5 minutes,In Person Service Point,Access Services,12:30 PM,8/14/14,Thursday
Faculty,01-5 minutes,Email Personal,Research and Instruction Services,12:30 PM,8/14/14,Thursday
Visitor/Other,01-5 minutes,In Person Service Point,Access Services,12:30 PM,8/14/14,Thursday
Faculty,05-10 minutes,In Person Personal,Research and Instruction Services,3:30 PM,8/14/14,Thursday
Undergraduate Student,05-10 minutes,In Person Service Point,Access Services,4:00 PM,8/14/14,Thursday
Faculty,0-1 minutes,In Person Service Point,Archives and Special Collections,9:00 AM,8/15/14,Friday
Visitor/Other,01-5 minutes,Phone Service Point,Access Services,11:30 AM,8/15/14,Friday
Faculty,60+ minutes,Email Personal,Research and Instruction Services,11:30 AM,8/15/14,Friday
Undergraduate Student,20-30 minutes,In Person Personal,Research and Instruction Services,11:30 AM,8/15/14,Friday
Faculty,0-1 minutes,In Person Service Point,Archives and Special Collections,2:00 PM,8/15/14,Friday
Faculty,01-5 minutes,In Person Service Point,Research and Instruction Services,3:00 PM,8/15/14,Friday
Faculty,05-10 minutes,Email Personal,Research and Instruction Services,4:00 PM,8/15/14,Friday
Faculty,10-20 minutes,Email Personal,Research and Instruction Services,4:30 PM,8/15/14,Friday
Faculty,10-20 minutes,In Person Service Point,Access Services,5:30 PM,8/15/14,Friday
Faculty,30-60 minutes,In Person Personal,Research and Instruction Services,8:30 AM,8/18/14,Monday
Staff/Administration,0-1 minutes,In Person Service Point,Archives and Special Collections,9:00 AM,8/18/14,Monday
Faculty,0-1 minutes,In Person Service Point,Archives and Special Collections,10:00 AM,8/18/14,Monday
Faculty,01-5 minutes,Email Personal,Research and Instruction Services,9:30 AM,8/19/14,Tuesday
Faculty,0-1 minutes,Email Personal,Research and Instruction Services,10:00 AM,8/19/14,Tuesday
Faculty,05-10 minutes,In Person Personal,Research and Instruction Services,12:00 PM,8/19/14,Tuesday
Undergraduate Student,01-5 minutes,Chat,Research and Instruction Services,12:30 PM,8/19/14,Tuesday
Visitor/Other,0-1 minutes,In Person Service Point,Archives and Special Collections,5:00 PM,8/19/14,Tuesday
Staff/Administration,05-10 minutes,Email List,Research and Instruction Services,8:00 AM,8/20/14,Wednesday
Faculty,01-5 minutes,Email Personal,Access Services,8:30 AM,8/20/14,Wednesday
Faculty,20-30 minutes,Email Personal,Research and Instruction Services,8:30 AM,8/20/14,Wednesday
Faculty,20-30 minutes,Chat,Research and Instruction Services,10:30 AM,8/20/14,Wednesday
Faculty,20-30 minutes,In Person Personal,Research and Instruction Services,11:30 AM,8/20/14,Wednesday
Visitor/Other,01-5 minutes,Phone Service Point,Access Services,1:00 PM,8/20/14,Wednesday
Faculty,10-20 minutes,Email Personal,Research and Instruction Services,1:00 PM,8/20/14,Wednesday
Visitor/Other,0-1 minutes,In Person Service Point,Archives and Special Collections,2:00 PM,8/20/14,Wednesday
Staff/Administration,20-30 minutes,Email Personal,Research and Instruction Services,3:30 PM,8/20/14,Wednesday
Undergraduate Student,01-5 minutes,In Person Service Point,Access Services,8:00 AM,8/21/14,Thursday
Graduate Student,01-5 minutes,Email List,Access Services,12:30 PM,8/21/14,Thursday
Undergraduate Student,01-5 minutes,Email Personal,Access Services,12:30 PM,8/21/14,Thursday
Undergraduate Student,05-10 minutes,Email List,Research and Instruction Services,2:00 PM,8/21/14,Thursday
Graduate Student,01-5 minutes,In Person Service Point,Access Services,3:00 PM,8/21/14,Thursday
Graduate Student,01-5 minutes,Phone Service Point,Access Services,11:00 AM,8/22/14,Friday
Undergraduate Student,01-5 minutes,Email List,Access Services,11:00 AM,8/22/14,Friday
Faculty,05-10 minutes,Email Personal,Research and Instruction Services,11:00 AM,8/22/14,Friday
Faculty,05-10 minutes,Email Personal,Research and Instruction Services,11:00 AM,8/22/14,Friday
Visitor/Other,05-10 minutes,Email Personal,Research and Instruction Services,11:30 AM,8/22/14,Friday
Faculty,05-10 minutes,Email Personal,Research and Instruction Services,12:00 PM,8/22/14,Friday
